conversation_id,text,reply_count,first_tweet,Text,cleaned_text
1658489916412801024,"Fantasy friends plz help me to find the nicest full-body hq pic of Youngbin, please!...1149924360- @kxcvxvii Here you go. 😘 https://t.co/5ks2WjyWCb...1149924360- @kxcvxvii Here, ma’am 🥰 https://t.co/VAXQGuYgvC",2,"Fantasy friends plz help me to find the nicest full-body hq pic of Youngbin, please!","['fantasy', 'friend', 'plz', 'help', 'find', 'nicest', 'full', 'body', 'hq', 'pic', 'please', 'go', 'link', 'ma', 'link']",fantasy friend plz help find nicest full body hq pic please go link ma link
1658831414291226624,praying that kflex london has an amazing lineup just like this one 🙏 https://t.co/A6Cmj2NT6s...1628543348184064000- @yeonhoteeth @naziatheworld @K_FLEX_ @KPOPLUX_ It’s September 22-24 (Friday to Sunday),1,praying that kflex london has an amazing lineup just like this one 🙏 https://t.co/A6Cmj2NT6s,"['praying', 'kflex', 'london', 'amazing', 'lineup', 'just', 'like', 'one', 'link', 'yeonhoteeth', 'k_flex_', 'kpoplux_', 'september', 'friday', 'sunday']",praying kflex london amazing lineup just like one link yeonhoteeth k_flex_ kpoplux_ september friday sunday
1658872268708265984,"im already tired but still need to stay up to do the assignment.. help https://t.co/960PsXjODE...1265981955675488256- @pumscastles 📚🖊️ We're reliable for professional assistance with your academics ✨🔥

1️⃣ Assignments
2️⃣ Essay due 
3️⃣ Homework 
4️⃣ Online class 
5️⃣ Thesis
6️⃣ Research paper 
7️⃣ Math
8️⃣ Case study 
Among others 

DM/
📩excellentpapers09@gmail.com

Whatsapp https://t.co/YuExzJGOoS",1,im already tired but still need to stay up to do the assignment.. help https://t.co/960PsXjODE,"['already', 'tired', 'still', 'need', 'stay', 'assignment', 'help', 'link', 'pumscastles', 're', 'reliable', 'professional', 'assistance', 'academic', 'assignment', 'essay', 'due', 'homework', 'online', 'class', 'thesis', 'research', 'paper', 'math', 'case', 'study', 'among', 'others', 'dm', 'com', 'whatsapp', 'link']",already tired still need stay assignment help link pumscastles re reliable professional assistance academic assignment essay due homework online class thesis research paper math case study among others dm com whatsapp link
1658916239949930553,I will probably delete this tweet later but I just got the most intense feeling outta nowhere that everyone wants me to shut up and disappear forever like the anxiety is anxietying right now. I’m in a horrible head space atm https://t.co/7FClwvqPvh...798503910088601600- @vulturcaeli @dimiIuc Learn from a pro and start making serious money with crypto using this web3 developer's MEV strategy - the proof is in the pudding.  https://t.co/DLAM2IJJBG,1,I will probably delete this tweet later but I just got the most intense feeling outta nowhere that everyone wants me to shut up and disappear forever like the anxiety is anxietying right now. I’m in a horrible head space atm https://t.co/7FClwvqPvh,"['will', 'probably', 'delete', 'tweet', 'later', 'just', 'got', 'intense', 'feeling', 'outta', 'nowhere', 'everyone', 'want', 'shut', 'disappear', 'forever', 'like', 'anxiety', 'anxietying', 'right', 'now', 'horrible', 'head', 'space', 'atm', 'link', 'vulturcaeli', 'learn', 'pro', 'start', 'making', 'serious', 'money', 'crypto', 'using', 'developer', 'mev', 'strategy', 'proof', 'pudding', 'link']",will probably delete tweet later just got intense feeling outta nowhere everyone want shut disappear forever like anxiety anxietying right now horrible head space atm link vulturcaeli learn pro start making serious money crypto using developer mev strategy proof pudding link
1659090060279529472,everyone pray for my accounting tmrw...1139746427842596866- @i520ricky aww thank you bff 🥹...1139746427842596866- @rickytten thank youuu 🥹...1625058265200738305- @twentyfourto25 good luck !!...1372717113199058946- @twentyfourto25 you'll do great bff...1407868847109984262- @twentyfourto25 already on it 🧎🏻‍♀️🧎🏻‍♀️🧎🏻‍♀️🧎🏻‍♀️🧎🏻‍♀️🛐🛐🧎🏻‍♀️🛐🧎🏻‍♀️🛐🧎🏻‍♀️🛐🛐🧎🏻‍♀️,5,everyone pray for my accounting tmrw,"['everyone', 'pray', 'accounting', 'tmrw', 'aww', 'thank', 'bff', 'rickytten', 'thank', 'youuu', 'good', 'luck', 'll', 'great', 'bff', 'already']",everyone pray accounting tmrw aww thank bff rickytten thank youuu good luck ll great bff already
1659143751011549186,nope didn't help I'm smol bye https://t.co/Pqw2lLR8Ez...1661897449- @Sarudth It's the sun 🌞  hahahah...710606916318322688- @aishaishious The glow 🤩...1661897449- @dephchii Discrimination against smol people 🤣...29916417- @aishaishious Hahaha i feel you. This is also me every single time 🥲,4,nope didn't help I'm smol bye https://t.co/Pqw2lLR8Ez,"['nope', 'didn', 'help', 'smol', 'bye', 'link', 'sarudth', 'sun', 'hahahah', 'glow', 'dephchii', 'discrimination', 'smol', 'people', 'hahaha', 'feel', 'also', 'every', 'single', 'time']",nope didn help smol bye link sarudth sun hahahah glow dephchii discrimination smol people hahaha feel also every single time
1659250050520711192,my grandma is going to hate me for this but it looks so much better i dont even gaf https://t.co/qC53NxlWEW...1499527260558274563- @hyunlixxi YES UGH trial and error works wonders tho...1500699219665035264- @morganbbang Okay new room era i cant even tell you have 0 natural light 👍👍💯💯🔥😊🔥☺️👍💯👍💢💯...1271364599988621312- @morganbbang do u ever want to change a specific part and u try and ur like no now its Not Right...1499527260558274563- @hyunlixxi HMMM just change random things and see if you like it!! thats kinda ehat i do every time like i NEVER have a plan i just do jt...1271364599988621312- @morganbbang IVE BEEN WANTING TO CHANGE THINGS IN MY ROOM idk though hhhhhhhn...1499527260558274563- @graceea29887132 THANK YOU SO MUCH ILY...1555360001522286598- @morganbbang ur room is so cool :c...1499527260558274563- @hyunlixxi THANK YOUUUUUU im so happy...1271364599988621312- @morganbbang I LOVE IT,9,my grandma is going to hate me for this but it looks so much better i dont even gaf https://t.co/qC53NxlWEW,"['grandma', 'going', 'hate', 'look', 'much', 'better', 'dont', 'even', 'gaf', 'link', 'hyunlixxi', 'yes', 'ugh', 'trial', 'error', 'work', 'wonder', 'tho', 'okay', 'new', 'room', 'era', 'cant', 'even', 'tell', 'natural', 'light', 'ever', 'want', 'change', 'specific', 'part', 'try', 'ur', 'like', 'now', 'right', 'hyunlixxi', 'hmmm', 'just', 'change', 'random', 'thing', 'see', 'like', 'thats', 'kinda', 'ehat', 'every', 'time', 'like', 'never', 'plan', 'just', 'jt', 'wanting', 'change', 'thing', 'room', 'idk', 'though', 'hhhhhhhn', 'thank', 'much', 'ily', 'ur', 'room', 'cool', 'hyunlixxi', 'thank', 'youuuuuu', 'happy', 'love']",grandma going hate look much better dont even gaf link hyunlixxi yes ugh trial error work wonder tho okay new room era cant even tell natural light ever want change specific part try ur like now right hyunlixxi hmmm just change random thing see like thats kinda ehat every time like never plan just jt wanting change thing room idk though hhhhhhhn thank much ily ur room cool hyunlixxi thank youuuuuu happy love
1659345587341258753,"idk whether to be happy or sad knowing my alevels start later and end later...1262135925510979585- @sanniesmist nah but it’s kinda like more time they’re just there anyways ygm? like idk if id rather have them later where for weeks im just thinking about them or just get them over and done with if that makes sense...1463725938928021504- @eternallyeos i actually dont know if this makes sense...1463725938928021504- @eternallyeos for people that start around now and end early , like ash &amp; tills , they technically have a shorter exam period so they stress for ""less time"" but in your case that doesnt apply if ykwim...1463725938928021504- @eternallyeos but it's still the same period of time as in no matter when anyone starts their exams , the actual span of time is the same😭 like no one is stressing for ""longer"" if you get what i mean ?...1463725938928021504- @eternallyeos you still have the same exam period tho like no matter what we'd all be stressed for the same amount of time😭a levels are forever it's much smarter to have 2.5 more weeks of revision as opposed to starting summer only a week earlier...1262135925510979585- @sanniesmist idc about missing a week of summer it’s still stressful knowing i still have exams and them ending later means i just stress longer ykwim...1463725938928021504- @eternallyeos i cant stress how i would do anything to be in your position...1262135925510979585- @sanniesmist YEAH BUT IM STRESSED UNTIL THE 23RD JUNE BRO YIU GUYS FINISH WAY BEFORE...1463725938928021504- @eternallyeos would much rather be able to revise for 2 and a half weeks longer and missing out on literally only like a week of summer come on let's be serious...1262135925510979585- more revision time 🤞🏽😜🤪😀 more time to be stressed 😖🥸🤓...1463725938928021504- @eternallyeos HAPPY BRUV IT'S A GOOD THING YOU'VE SEEN THE STATE OF US",11,idk whether to be happy or sad knowing my alevels start later and end later,"['idk', 'whether', 'happy', 'sad', 'knowing', 'alevels', 'start', 'later', 'end', 'later', 'sanniesmist', 'nah', 'kinda', 'like', 'time', 're', 'just', 'anyways', 'ygm', 'like', 'idk', 'id', 'rather', 'later', 'week', 'just', 'thinking', 'just', 'get', 'done', 'make', 'sense', 'eternallyeos', 'actually', 'dont', 'know', 'make', 'sense', 'eternallyeos', 'people', 'start', 'around', 'now', 'end', 'early', 'like', 'ash', 'till', 'technically', 'shorter', 'exam', 'period', 'stress', 'time', 'case', 'doesnt', 'apply', 'ykwim', 'eternallyeos', 'still', 'period', 'time', 'matter', 'anyone', 'start', 'exam', 'actual', 'span', 'time', 'like', 'one', 'stressing', 'longer', 'get', 'mean', 'eternallyeos', 'still', 'exam', 'period', 'tho', 'like', 'matter', 'stressed', 'amount', 'timea', 'level', 'forever', 'much', 'smarter', 'week', 'revision', 'opposed', 'starting', 'summer', 'week', 'earlier', 'sanniesmist', 'idc', 'missing', 'week', 'summer', 'still', 'stressful', 'knowing', 'still', 'exam', 'ending', 'later', 'mean', 'just', 'stress', 'longer', 'ykwim', 'eternallyeos', 'cant', 'stress', 'anything', 'position', 'sanniesmist', 'yeah', 'stressed', 'june', 'bro', 'yiu', 'finish', 'way', 'eternallyeos', 'much', 'rather', 'able', 'revise', 'half', 'week', 'longer', 'missing', 'literally', 'like', 'week', 'summer', 'come', 'let', 'serious', 'revision', 'time', 'time', 'stressed', 'eternallyeos', 'happy', 'bruv', 'good', 'thing', 'seen', 'state']",idk whether happy sad knowing alevels start later end later sanniesmist nah kinda like time re just anyways ygm like idk id rather later week just thinking just get done make sense eternallyeos actually dont know make sense eternallyeos people start around now end early like ash till technically shorter exam period stress time case doesnt apply ykwim eternallyeos still period time matter anyone start exam actual span time like one stressing longer get mean eternallyeos still exam period tho like matter stressed amount timea level forever much smarter week revision opposed starting summer week earlier sanniesmist idc missing week summer still stressful knowing still exam ending later mean just stress longer ykwim eternallyeos cant stress anything position sanniesmist yeah stressed june bro yiu finish way eternallyeos much rather able revise half week longer missing literally like week summer come let serious revision time time stressed eternallyeos happy bruv good thing seen state
1659356352097992707,Does anyone want to complete my heart? https://t.co/MWlrLVL8dd...1497941922312245252- @jewonlover omg my love 🥺🫶🏻,1,Does anyone want to complete my heart? https://t.co/MWlrLVL8dd,"['anyone', 'want', 'complete', 'heart', 'link', 'jewonlover', 'omg', 'love']",anyone want complete heart link jewonlover omg love
1659390475667746817,HELP ME https://t.co/ZwOwDEwbem...1612578955071987714- @gunwookeg 2nd one !,1,HELP ME https://t.co/ZwOwDEwbem,"['help', 'link', 'gunwookeg', 'one']",help link gunwookeg one
